person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,monthly_income,loan_risk_tier
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,0,4,18-25,13541.67,Orta Risk
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,1,2,18-25,11416.67,Orta Risk
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,0,4,18-25,5416.67,Yüksək Risk
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,0,3,18-25,915.0,Aşağı Risk
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,1,4,18-25,6666.67,Yüksək Risk
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,0,3,18-25,5645.5,Yüksək Risk
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,1,3,18-25,916.67,Yüksək Risk
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,0,3,18-25,916.67,Aşağı Risk
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,0,3,18-25,5416.67,Yüksək Risk
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,1,2,18-25,949.08,Orta Risk
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,0,3,18-25,960.0,Aşağı Risk
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,0,2,18-25,10000.0,Orta Risk
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,1,3,26-35,7916.67,Orta Risk
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,0,3,18-25,25500.0,Aşağı Risk
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,0,4,26-35,25000.0,Aşağı Risk
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,0,4,18-25,1000.0,Orta Risk
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,0,2,18-25,4000.0,Yüksək Risk
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,1,3,18-25,5333.33,Yüksək Risk
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,1,4,18-25,6250.0,Orta Risk
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,0,4,18-25,5958.33,Yüksək Risk
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,0,2,26-35,5170.83,Yüksək Risk
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,0,3,18-25,1000.0,Orta Risk
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,0,4,26-35,25000.0,Aşağı Risk
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,1,2,18-25,25000.0,Aşağı Risk
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,0,4,26-35,25000.0,Aşağı Risk
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,0,3,26-35,25000.0,Aşağı Risk
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,0,3,18-25,25000.0,Aşağı Risk
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,0,3,26-35,6724.17,Orta Risk
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,0,3,18-25,5525.0,Orta Risk
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,0,3,26-35,7419.0,Orta Risk
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,1,4,18-25,6500.0,Orta Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,1,3,18-25,6500.0,Orta Risk
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,1,3,18-25,7667.0,Orta Risk
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,0,2,18-25,8083.33,Orta Risk
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,0,4,18-25,10000.0,Orta Risk
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,1,3,26-35,23333.33,Aşağı Risk
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,0,3,26-35,23092.0,Aşağı Risk
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,0,4,18-25,23083.33,Aşağı Risk
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,0,4,18-25,10666.67,Orta Risk
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,1,3,18-25,1000.0,Aşağı Risk
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,0,4,18-25,10916.67,Orta Risk
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,0,2,18-25,22916.67,Aşağı Risk
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,0,4,26-35,21916.67,Aşağı Risk
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,0,2,18-25,18487.5,Aşağı Risk
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,0,3,18-25,5833.33,Yüksək Risk
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,1,3,18-25,1000.0,Aşağı Risk
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,0,3,26-35,21666.67,Aşağı Risk
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,1,2,18-25,21583.33,Aşağı Risk
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,0,2,18-25,21250.0,Aşağı Risk
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,0,4,18-25,20833.33,Aşağı Risk
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,0,3,18-25,1000.0,Orta Risk
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,0,2,18-25,4745.83,Yüksək Risk
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,1,3,18-25,1000.0,Orta Risk
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,0,2,18-25,5416.67,Yüksək Risk
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,0,3,26-35,7083.33,Orta Risk
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,0,3,26-35,1000.0,Yüksək Risk
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,0,3,18-25,7333.33,Orta Risk
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,1,4,18-25,1000.0,Orta Risk
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,0,2,18-25,1000.0,Orta Risk
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,1,4,18-25,6917.0,Orta Risk
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,1,3,18-25,20833.33,Aşağı Risk
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,0,3,18-25,8333.33,Orta Risk
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,0,2,26-35,9166.67,Orta Risk
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,0,4,26-35,1000.0,Orta Risk
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,0,4,18-25,9000.0,Orta Risk
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,0,2,18-25,12600.0,Aşağı Risk
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,0,2,18-25,5750.0,Orta Risk
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,1,3,18-25,1000.0,Orta Risk
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,1,3,18-25,5833.33,Orta Risk
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,0,2,18-25,20000.0,Aşağı Risk
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,1,2,26-35,6100.0,Orta Risk
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,1,2,18-25,6916.67,Orta Risk
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,0,3,18-25,6116.58,Orta Risk
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,0,2,18-25,5208.33,Yüksək Risk
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,0,3,18-25,10000.0,Orta Risk
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,0,3,18-25,1030.0,Aşağı Risk
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,0,3,18-25,5000.0,Yüksək Risk
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,1,4,18-25,19500.0,Aşağı Risk
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,0,4,18-25,19500.0,Aşağı Risk
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,0,3,26-35,19500.0,Aşağı Risk
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,1,3,18-25,18417.0,Aşağı Risk
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,1,2,26-35,19375.0,Aşağı Risk
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,0,4,18-25,19166.67,Aşağı Risk
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,0,3,18-25,6916.67,Orta Risk
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,0,3,18-25,1050.0,Aşağı Risk
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,1,3,18-25,3541.67,Yüksək Risk
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,0,3,18-25,3416.67,Yüksək Risk
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,1,4,18-25,1068.0,Orta Risk
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,0,3,18-25,1080.0,Orta Risk
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,0,4,26-35,18833.33,Aşağı Risk
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,1,2,18-25,18750.0,Aşağı Risk
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,0,2,26-35,17750.0,Aşağı Risk
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,0,4,18-25,18750.0,Aşağı Risk
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,0,4,18-25,1080.0,Orta Risk
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,1,2,18-25,1083.0,Aşağı Risk
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,1,2,18-25,3500.0,Yüksək Risk
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,0,4,26-35,4000.0,Yüksək Risk
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,0,3,18-25,1083.0,Orta Risk
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,0,3,18-25,1083.0,Orta Risk
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,1,3,18-25,3530.0,Yüksək Risk
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,0,2,18-25,4083.33,Yüksək Risk
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,0,2,18-25,18750.0,Aşağı Risk
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,0,4,26-35,18750.0,Aşağı Risk
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,0,2,18-25,18750.0,Aşağı Risk
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,0,2,26-35,18750.0,Aşağı Risk
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,0,3,18-25,4122.0,Yüksək Risk
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,0,3,18-25,4166.67,Yüksək Risk
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,0,2,18-25,4166.67,Yüksək Risk
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,0,2,18-25,3666.67,Yüksək Risk
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,0,4,18-25,4166.67,Yüksək Risk
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,0,2,18-25,4167.0,Yüksək Risk
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,0,3,18-25,4167.0,Yüksək Risk
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,0,4,18-25,4333.33,Yüksək Risk
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,0,4,18-25,1100.0,Orta Risk
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,0,2,18-25,18333.33,Aşağı Risk
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,0,3,18-25,18000.0,Aşağı Risk
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,0,3,18-25,18000.0,Aşağı Risk
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,1,2,26-35,18000.0,Aşağı Risk
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,1,3,18-25,17916.67,Aşağı Risk
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,0,2,26-35,17916.67,Aşağı Risk
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,0,2,18-25,4333.33,Yüksək Risk
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,0,4,26-35,3833.33,Yüksək Risk
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,1,4,18-25,4416.67,Yüksək Risk
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,1,2,26-35,3916.67,Yüksək Risk
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,0,2,18-25,3916.67,Yüksək Risk
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,0,4,18-25,1100.0,Aşağı Risk
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,0,4,18-25,1100.0,Orta Risk
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,0,4,18-25,17500.0,Aşağı Risk
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,0,4,26-35,17500.0,Aşağı Risk
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,0,2,26-35,4000.0,Yüksək Risk
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,0,4,18-25,4583.0,Yüksək Risk
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,1,4,18-25,4583.33,Yüksək Risk
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,0,3,18-25,4583.33,Yüksək Risk
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,1,3,18-25,4583.33,Yüksək Risk
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,1,4,18-25,4597.0,Yüksək Risk
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,0,2,26-35,4666.67,Yüksək Risk
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,0,3,18-25,16958.33,Aşağı Risk
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,1,3,18-25,15833.33,Aşağı Risk
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,0,4,18-25,1160.0,Yüksək Risk
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,0,3,18-25,5000.0,Yüksək Risk
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,0,3,18-25,5000.0,Yüksək Risk
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,1,2,26-35,4500.0,Yüksək Risk
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,0,3,18-25,1166.67,Orta Risk
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,0,2,18-25,16666.67,Aşağı Risk
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,0,2,18-25,16666.67,Aşağı Risk
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,0,4,18-25,16666.67,Aşağı Risk
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,0,4,18-25,4500.0,Yüksək Risk
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,0,3,18-25,5000.0,Yüksək Risk
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,0,4,18-25,5000.0,Yüksək Risk
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,0,4,18-25,5000.0,Yüksək Risk
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,0,2,18-25,5163.25,Orta Risk
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,1,3,18-25,4700.0,Yüksək Risk
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,0,2,18-25,16666.67,Aşağı Risk
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,0,2,18-25,16666.67,Aşağı Risk
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,0,4,18-25,16666.67,Aşağı Risk
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,0,3,26-35,16666.67,Aşağı Risk
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,0,2,18-25,16666.67,Aşağı Risk
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,0,4,18-25,16666.67,Aşağı Risk
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,0,2,18-25,5500.0,Orta Risk
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,1,3,18-25,5500.0,Orta Risk
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,0,4,18-25,16666.67,Aşağı Risk
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,0,3,18-25,16666.67,Aşağı Risk
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,0,2,18-25,16666.67,Aşağı Risk
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,0,3,18-25,16666.67,Aşağı Risk
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,0,3,18-25,16666.67,Aşağı Risk
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,1,2,18-25,5000.0,Yüksək Risk
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,0,4,18-25,1200.0,Orta Risk
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,1,2,26-35,5583.0,Orta Risk
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,0,4,18-25,5583.33,Orta Risk
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,0,3,18-25,5583.33,Orta Risk
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,1,3,18-25,5666.67,Orta Risk
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,0,2,18-25,5750.0,Orta Risk
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,0,3,18-25,16666.67,Aşağı Risk
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,0,2,26-35,15666.67,Aşağı Risk
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,0,3,26-35,16666.67,Aşağı Risk
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,0,3,18-25,5833.0,Orta Risk
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,0,3,18-25,1200.0,Orta Risk
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,0,4,18-25,5833.33,Orta Risk
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,0,3,18-25,1200.0,Yüksək Risk
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,0,4,18-25,4675.0,Orta Risk
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,1,2,18-25,5500.0,Orta Risk
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,0,4,26-35,5500.0,Orta Risk
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,0,2,18-25,1200.0,Orta Risk
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,0,2,18-25,6051.0,Orta Risk
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,0,3,18-25,6166.67,Orta Risk
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,0,2,18-25,6250.0,Orta Risk
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,1,2,18-25,16000.0,Aşağı Risk
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,0,4,18-25,15916.67,Aşağı Risk
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,0,3,26-35,15858.33,Aşağı Risk
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,0,3,18-25,15833.33,Aşağı Risk
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,0,4,18-25,6250.0,Orta Risk
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,1,4,18-25,5916.67,Orta Risk
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,0,4,26-35,15833.33,Aşağı Risk
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,0,3,18-25,15833.0,Aşağı Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,1,2,18-25,6500.0,Orta Risk
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,0,3,18-25,6500.0,Orta Risk
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,0,3,18-25,6542.0,Orta Risk
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,0,4,18-25,15500.0,Aşağı Risk
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,0,2,18-25,15416.67,Aşağı Risk
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,1,2,18-25,5170.83,Orta Risk
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,1,2,18-25,6618.0,Orta Risk
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,0,2,18-25,1200.0,Yüksək Risk
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,1,2,18-25,6635.92,Orta Risk
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,0,4,18-25,6636.0,Orta Risk
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,0,4,18-25,1200.0,Aşağı Risk
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,0,2,18-25,6666.67,Orta Risk
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,0,4,26-35,6666.67,Orta Risk
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,0,2,18-25,15416.67,Aşağı Risk
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,0,2,26-35,15416.67,Aşağı Risk
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,1,4,18-25,15416.0,Aşağı Risk
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,0,2,18-25,15333.33,Aşağı Risk
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,1,4,18-25,14333.33,Aşağı Risk
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,0,3,18-25,15250.0,Aşağı Risk
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,0,2,18-25,15250.0,Aşağı Risk
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,0,3,18-25,15246.0,Aşağı Risk
